,1,2,3,4,5,6,7,8,9,10
18-Jan,290.3059998,283.8718619,280.5283234,275.9054944,270.2931824,265.8683777,264.5429993,261.8997528,258.1841431,258.1841431
18-Feb,420.2741455,395.7413577,383.4959543,371.6732675,363.2920041,357.5887756,339.806893,333.8442383,331.532226,329.3795862
18-Mar,424.6359909,413.401004,394.4191705,356.1946115,334.4441092,324.9550095,316.284006,310.6572952,305.199888,284.1370639
18-Apr,399,377.2388937,349.5172791,339.4104977,326.1369131,315.3168869,300.8582495,285.2833478,276.7202942,268.869295
18-May,389.1589996,354.405235,337.7221011,315.972749,298,288.4886246,277.7863947,270.5596094,260.1506009,245.9871599
18-Jun,354.516011,331.9209067,318.3784006,298.6897864,292.9229953,281.4699936,263.7828967,252.735797,248.674696,242.9732976
18-Jul,343.3999969,319.2713986,296.3607892,293,288.1199951,273.9974899,257.4856033,247.6341011,239.9860986,225.265101
18-Aug,374.3564987,354.7200012,342.2080075,326.1888907,313.0006125,293,282.5691074,276.8519031,253.7263995,244.6787978
18-Sep,368.0300034,352.2213962,335.7318027,323.6071881,310.556828,289.140007,277.1636942,261.1102985,248.1362015,241.6921057
18-Oct,382.1354919,353.230011,342.8975061,320.7578922,304.4778024,296.2250061,292.4569943,288.9686911,283.0867996,273.6946246
18-Nov,369.771492,360.2005988,338.3791937,316.351506,300.561192,280.6399918,271.7441928,263.2195914,252.3188953,246.4926935
18-Dec,324.4795044,297.1575903,281.5208972,265.5643118,256.7879953,242.9350014,227.1379971,215.7549036,200.5120969,190.2915016
19-Jan,305.3089874,292.2291043,265.688288,255.0644939,249.7240582,242.9299965,219.5495049,210.5616011,194.8616986,186.4595016
19-Feb,298.5919891,277.8635956,272.0222928,247.7159995,240.7602953,214.8174973,190.7635999,177.5039992,172.7024004,158.4391025
19-Mar,263.873497,252.9821049,241.9871005,215.2809976,197.5137994,188.9224968,174.3287,170.5308987,158.918401,144.777197
19-Apr,276.7500061,250.0700073,234.1619026,230.9809766,219.3200073,197.7147026,181.9991042,169.4260973,151.0507028,131.8615021
19-May,301.6095016,276.7105051,249.0257941,237.832202,228.678506,210.8874969,196.8381015,186.6295992,171.6285014,160.8745865
19-Jun,297.2249969,288.2170081,271.434892,243.0248027,223.2458009,214.3625031,207.9470988,197.532101,186.3418939,173.8405595
19-Jul,290.402507,274.8603091,245.8984969,228.9460947,217.7883035,208.6500053,198.380295,186.5889993,179.8239975,167.2892961
19-Aug,296.4424896,269.6971091,249.5620963,236.8783969,223.8794986,210.4275017,200.9429994,193.1095949,185.2886035,172.4554984
19-Sep,302.5034927,277.3048312,264.8165012,254.9164975,233.4352026,217.1150017,213.7700043,209.3070021,197.8451009,176.0880014
19-Oct,317.5720718,299.183801,279.3910001,260.1023022,250.0082973,235.5750046,216.8420976,204.7552896,184.4441039,172.7899933
19-Nov,293.1169998,278.4159967,260.1226935,245.9880048,234.5334955,224.3774986,209.9924054,197.1989029,183.5599976,171.0964029
19-Dec,299.6599915,280.2000122,252.9121973,245.1508022,232.5858015,213.8050041,202.719503,186.091395,177.0739998,164.9656979
20-Jan,320.4935089,308.8399963,280.7638907,263.938295,251.4547975,236.4550018,210.4746977,192.3311996,185.4872002,171.0829033
20-Feb,321.2489899,306.2647031,284.6300049,248.7415947,232.5499019,214.2999954,193.5576967,180.5666988,170.9592006,151.8630988
20-Mar,319.4655045,296.3702643,270.4389044,257.129924,227.5337962,216.8000031,197.1995564,176.8713933,150.0533943,127.9144
20-Apr,303.2225113,292.9642383,269.1752365,246.1458015,229.359903,209.5575027,199.8774976,183.4419038,150.2079803,127.4178982
20-May,289.7364944,272.0041931,250.2172319,234.3003459,216.8000031,207.1399994,192.8153023,180.5748935,170.2706032,151.9110834
20-Jun,270.813002,251.6833044,242.3986017,234.6651056,219.5982582,209.279995,199.0186632,186.905504,176.1460039,165.4939018
20-Jul,274.5430069,264.1690933,253.4959999,243.7102968,235.1199951,218.329998,213.8270006,204.8439128,197.2096048,185.9295029
20-Aug,294.784993,266.9384958,261.5959937,247.1129781,234.2760962,227.7150002,217.8952933,213.3954062,205.6465042,198.4389973
20-Sep,309.4029953,295.6362964,276.0518896,262.4599915,248.3223061,236.6424942,229.8200073,223.9487021,216.8000031,206.6215034
20-Oct,295.5254868,281.7838071,267.8676428,253.979903,240.8244997,226.7199974,217.6250977,211.2516035,200.8394023,188.2390004
20-Nov,305.4250046,284.9885089,275.7277902,258.9910025,237.2274005,224.5050011,211.4455948,196.0937021,188.5053975,183.9532002
20-Dec,308.4265045,295.2802057,272.9993039,260.505704,248.4808937,225.107502,216.8000031,210.7086966,196.6127979,183.0362053
21-Jan,303.1875275,288.2689996,257.8049277,235.8998051,216.8000031,209.404892,201.2100067,186.3222021,176.3301027,153.8413945
21-Feb,285.0525009,241.5529065,223.8215395,214.6208034,193.477804,166.1999969,160.6722447,154.7258244,140.2061198,119.9000015
21-Mar,275.4212479,245.6171997,221.3613434,191.2276871,167.8359961,155.9700012,139.1033763,115.8871464,97.46192802,61.76102024
21-Apr,278.6294418,238.2100067,207.5032878,185.6707327,165.0982034,150.349102,131.362636,119.6509363,106.2815023,94.80355774
21-May,266.2490753,239.8169012,216.8000031,200.2115985,181.7991995,166.1999969,153.5916037,142.7460031,126.3412977,119.9000015
21-Jun,294.1984894,285.3015115,274.3390085,255.1160995,244.9503989,224.0500031,216.8000031,208.2272981,201.2326968,191.2822969
21-Jul,303.7999878,278.8972992,262.121897,252.9235042,239.1719028,222.6899986,216.8000031,213.2194984,206.4454239,199.0599976
21-Aug,297.6720123,280.8287122,276.2777054,243.5239017,234.1146016,227.3275032,220.0254013,216.25,211.429899,200.0217024
21-Sep,311.950502,296.480011,281.3722964,264.1693033,245.0491953,237.3899994,228.5200043,223.8388052,216.8000031,202.4155
21-Oct,327.4605103,308.0860101,296.338392,277.3739917,261.9760931,250.0600052,231.8533719,220.4400024,219.0427049,217.0132977
21-Nov,327.546994,304.7661978,278.1779068,265.7413046,253.6162956,234.9725037,227.2692996,216.9322028,213.1264015,209.6881024
21-Dec,326.1009888,296.6028943,275.8736887,265.9539938,250.6622047,244.5500069,239.1776959,227.4029961,209.7581044,198.3924008
22-Jan,364.0154999,332.4636917,290.5351077,264.4266245,254.8661043,240.1674957,228.3800853,216.3384966,184.7774498,174.5998959
22-Feb,346.8821304,318.5418085,293.0323114,274.7769101,257.8795901,242.0197716,222.792795,213.7291995,198.8108038,175.9988051
22-Mar,301.0199005,290.1347562,281.5971954,257.5323978,216.8736012,189.842495,169.8083391,151.5800018,136.5742558,118.8494975
22-Apr,297.1187515,272.8294937,252.4845154,227.92384,205.9566417,179.2310143,155.3600006,142.8869453,124.6974924,109.7853983
22-May,289.9895432,280.3190091,271.3399963,240.1203004,226.4335988,216.8000031,198.214601,179.6406738,167.0500031,154.3699951
22-Jun,317.2934982,310.7436087,302.9895087,295.1273071,285.616207,275.7074966,259.7015973,247.9622015,242.4799957,236.4598016
22-Jul,348.9625015,320.0589011,308.2900085,293.8182913,278.9506918,272.9200134,259.5816022,252.4719026,249.4299927,242.1518376
22-Aug,335.8489868,328.8603091,317.8897977,294.9368106,282.1402966,275.3349915,253.7424054,250.8015958,245.1281979,230.1399994
22-Sep,383.7669922,362.9200134,339.0361029,326.5,309.1181967,296.077507,290.3653906,272.1499939,263.849903,256.328707
