Caso, Clp, Simplex, Pontos Interiores 
1 tempo, 0.000275746, 0.043017438, 0.106601226
1 fobjt, 299.140850000001, 299.140850000001, 299.14084996886027
5 tempo, 0.00051341, 1.733210082, 0.167688138
5 fobjt, 1294.4513999999226, 1294.4513999999226, 1294.4513999874448
10 tempo, 0.001554333, 3.433865913, 0.322846757
10 fobjt, 1940.712799999708, 1940.712799999708, 1940.712799975224
15 tempo, 0.002134035, 6.733800362, 0.714424091
15 fobjt, 1604.3394999995853, 1604.3394999995853, 1604.3394999603845
20 tempo, 0.001682686, 10.067097259, 1.450565473
20 fobjt, 784.8382999997239, 784.8382999997239, 784.8382999920815
25 tempo, 0.001948911, 17.727065036, 3.226607164
25 fobjt, 153.25690000004312, 153.25690000004312, 153.25689999108837
30 tempo, 0.002425295, 28.242539783, 4.555778095
30 fobjt, 0.0, 0.0, -1.2109937999082988e-8
35 tempo, 0.00265767, 37.919772718, 6.627658595
35 fobjt, 0.0, 0.0, -1.017755696292207e-8
40 tempo, 0.003029327, 58.557886037, 9.381253784
40 fobjt, 0.0, 0.0, -1.2704502707931696e-8
45 tempo, 0.003458462, 93.734453408, 18.582318826
45 fobjt, 0.0, 0.0, -1.4311645840128277e-8
50 tempo, 0.003848103, 113.791234874, 23.280631874
50 fobjt, 0.0, -22.855352096000033, -1.3879474985804968e-8
55 tempo, 0.004917941, 143.68520136, 24.291459666
55 fobjt, 0.0, -623.5178847168206, -1.4583021611445603e-8
60 tempo, 0.004623506, 173.877223203, 32.37647019
60 fobjt, 0.0, -1316.9423392676217, -1.9907612517847294e-8
